车辆类型,排放类型,speed_kmh,acceleration_m/s2,排放因子_g/s
小轿车,NOx,72,-1.8,2.46343888888889e-05
小轿车,NOx,73,-1.8,2.46343888888889e-05
小轿车,NOx,74,-1.8,2.46343888888889e-05
小轿车,NOx,75,-1.8,2.46343888888889e-05
小轿车,NOx,76,-1.8,2.46343888888889e-05
小轿车,NOx,77,-1.8,2.46343888888889e-05
小轿车,NOx,78,-1.8,2.46343888888889e-05
小轿车,NOx,79,-1.8,2.46343888888889e-05
小轿车,NOx,80,-1.8,2.46343888888889e-05
小轿车,NOx,81,-1.8,2.46343888888889e-05
小轿车,NOx,82,-1.8,2.46343888888889e-05
小轿车,NOx,83,-1.8,2.46343888888889e-05
小轿车,NOx,84,-1.8,2.46343888888889e-05
小轿车,NOx,85,-1.8,2.46343888888889e-05
小轿车,NOx,86,-1.8,2.46343888888889e-05
小轿车,NOx,87,-1.8,2.46343888888889e-05
小轿车,NOx,88,-1.8,2.46343888888889e-05
小轿车,NOx,89,-1.8,2.46343888888889e-05
小轿车,NOx,90,-1.8,2.46343888888889e-05
小轿车,NOx,91,-1.8,2.46343888888889e-05
小轿车,NOx,92,-1.8,2.46343888888889e-05
小轿车,NOx,93,-1.8,2.46343888888889e-05
小轿车,NOx,94,-1.8,2.46343888888889e-05
小轿车,NOx,95,-1.8,2.46343888888889e-05
小轿车,NOx,96,-1.8,2.46343888888889e-05
小轿车,NOx,97,-1.8,2.46343888888889e-05
小轿车,NOx,98,-1.8,2.46343888888889e-05
小轿车,NOx,99,-1.8,2.46343888888889e-05
小轿车,NOx,100,-1.8,2.46343888888889e-05
小轿车,NOx,101,-1.8,2.46343888888889e-05
小轿车,NOx,102,-1.8,2.46343888888889e-05
小轿车,NOx,103,-1.8,2.46343888888889e-05
小轿车,NOx,104,-1.8,2.46343888888889e-05
小轿车,NOx,105,-1.8,2.46343888888889e-05
小轿车,NOx,106,-1.8,2.46343888888889e-05
小轿车,NOx,107,-1.8,2.46343888888889e-05
小轿车,NOx,108,-1.8,2.46343888888889e-05
小轿车,NOx,109,-1.8,2.46343888888889e-05
小轿车,NOx,110,-1.8,2.46343888888889e-05
